Group,Animal,Tissue,flux_1,flux_4
scr,120,lung,18020,11260
scr,121,lung,291400,259600
scr,122,lung,234800,256900
scr,123,lung,22980,18740
scr,124,lung,18750,15910
scr,125,lung,64460,57500
scr,126,lung,NA,NA
shmet,127,lung,17440,10280
shmet,128,lung,27950,23420
shmet,129,lung,47870,45380
shmet,130,lung,31300,25500
shmet,131,lung,109800,108400
shmet,132,lung,34830,29860
shmet,133,lung,57710,52160
liposome,134,lung,12550,8353
liposome,135,lung,NA,NA
liposome,136,lung,54780,44880
liposome,137,lung,38740,40050
liposome,138,lung,207400,169000
liposome,139,lung,22910,17110
liposome,140,lung,43930,39590
scr,120,femur,65300,56230
scr,121,femur,138900,185800
scr,122,femur,2758000,3557000
scr,123,femur,79700,106400
scr,124,femur,25490,31110
scr,125,femur,388700,477400
scr,126,femur,NA,NA
shmet,127,femur,434000,449400
shmet,128,femur,87590,31130
shmet,129,femur,780300,1126000
shmet,130,femur,50980,54370
shmet,131,femur,92150,140600
shmet,132,femur,125400,148900
shmet,133,femur,292800,373300
liposome,134,femur,42240,54260
liposome,135,femur,NA,NA
liposome,136,femur,56640,38810
liposome,137,femur,217700,201700
liposome,138,femur,1196000,611100
liposome,139,femur,125600,108300
liposome,140,femur,133000,146200