Group,Animal,D5,D7,D10,D12,D14,D17,,
scr,120,28.08535028,51.71504,135.6759061,357.493968,419.094,846.3100006,,
scr,121,8.88700956,29.65248,124.6482432,488.4215336,861.31188,2017.6195,,
scr,122,0,25.48,31.536284,54.6212212,80.262,71.5,,
scr,123,0,27.25272576,56.28532,71.4385984,173.481867,314.168192,,
scr,124,13.42652844,36.08305584,94.58176,152.974913,299.52,822.9029796,,
scr,125,14.4612,34.19799552,84.3648,182.8019794,206.360375,472.6407712,,
scr,126,19.5909376,119.9245882,418.79552,724.80096,1265.472,NA,,
shmet,127,35.29136,138.5108088,365.39256,756.94632,1607.151,3749.29152,,
shmet,128,27.53307648,70.46392288,410.67,764.812048,1640.47936,2910.29596,,
shmet,129,9.1,29.5766016,133.92496,318.82292,364.817647,685.840896,,
shmet,130,21.0392,49.0481082,290.20784,334.226724,509.7190972,645.963552,,
shmet,131,0,19.16928,70.8837376,71.0073,91.888992,404.352,,
shmet,132,30.78608,50.77726992,129.727312,396.240104,555.90912,1624.11704,,
shmet,133,19.2892752,147.6930218,871.34112,1082.46684,2610.404393,3167.871876,,
liposome,134,14.625,29.6421528,104.36608,304.4938,582.4,1445.82048,,
liposome,135,24.41682048,88.65090832,370.47296,685.153508,1143.341056,NA,,
liposome,136,30.78608,59.501624,75.74112,272.07648,400.1205,993.41424,,
liposome,137,37.44,146.96448,953.84952,1463.851418,2016.924998,3271.248864,,
liposome,138,30.0352,47.03106408,186.7424,280.56028,417.3691392,885.6526188,,
liposome,139,0,33.9456,163.47825,323.102,508.4345635,888.7123648,,
liposome,140,0,0,0,0,0,0,,