"","PTT","Species","Age","How.age","Sex","How.sex","Deploy.date","Tag.type","DURATION_MAX","IDDI_MED","MB","MASS_MED"
"1",93222,"Blainville's beaked whale","SA","Long-term follow","M","Genetic","5/5/09 13:06","AM-S240A_Fibreglass",NA,NA,69.2,306.089128440059
"2",93217,"Blainville's beaked whale","SA","Long-term follow","F","Characters","5/5/09 14:39","AM-S240A_Fibreglass",NA,NA,69.2,116.395010930411
"3",93232,"Blainville's beaked whale","A","Maturity characters","M","Characters","5/7/09 17:56","AM-S240A_Fibreglass",NA,NA,69.2,817.80070940684
"4",93242,"Blainville's beaked whale","A","Maturity characters","F","Characters","10/6/09 19:14","AM-S240A_Fibreglass",NA,NA,69.2,868.044010804342
"5",52627,"Blainville's beaked whale","A","Maturity characters","M","Characters","10/27/10 12:00","AM-S240B",NA,NA,69.2,817.80070940684
"6",108418,"Blainville's beaked whale","A","Maturity characters","F","Characters","6/5/11 14:00","MK10-A",NA,NA,69.2,868.044010804342
"7",108419,"Blainville's beaked whale","A","With dependent, and long term follow","F","With dependent","6/5/11 14:00","MK10-A",3584,4096,69.2,868.044010804342
"8",111664,"Blainville's beaked whale","A","Maturity characters","F","Characters","5/6/12 13:00","MK10-A",3636,3072,69.2,868.044010804342
"9",111670,"Blainville's beaked whale","A","Maturity characters","F","Genetic","5/6/12 19:14","MK10-A",7042,3312,69.2,868.044010804342
"10",111682,"Blainville's beaked whale","A","Maturity characters","M","Characters","6/22/12 17:45","MK10-A",4004,3958,69.2,817.80070940684
"11",111680,"Blainville's beaked whale","A","Maturity characters","F","Characters","6/23/12 13:41","MK10-A",3328,5258,69.2,868.044010804342
"12",112032,"Blainville's beaked whale","A","Maturity characters","M","Characters","6/23/12 14:04","MK10-A",NA,NA,69.2,817.80070940684
"13",111676,"Blainville's beaked whale","A","Maturity characters","F","Characters","6/30/12 11:00","MK10-A",NA,NA,69.2,868.044010804342
"14",111675,"Blainville's beaked whale","A","Maturity characters","M","Characters","7/1/12 11:00","MK10-A",3072,3185,69.2,817.80070940684
"15",111683,"Blainville's beaked whale","U","Visual size","U","Characters","7/1/12 11:00","MK10-A",NA,NA,69.2,587.066569622201
"16",129715,"Blainville's beaked whale","A","Maturity characters","F","Characters","11/2/13 12:00","MK10-B",NA,NA,69.2,868.044010804342
"17",93221,"Cuvier's beaked whale","A","Maturity characters","F","With dependent","5/6/09 14:46","AM-S240A_Fibreglass",NA,NA,43.2,1512.12959325844
"18",108417,"Cuvier's beaked whale","A","Maturity characters","M","Characters","6/13/11 12:00","MK10-A",4384,3757,43.2,1601.2727365614
"19",111681,"Cuvier's beaked whale","A","Maturity characters","M","Characters","6/15/12 16:55","MK10-A",4014,2504,43.2,1601.2727365614
"20",129713,"Cuvier's beaked whale","A","Maturity characters","M","Characters","6/2/13 17:15","MK10-B",4270,3071,43.2,1601.2727365614
"21",129714,"Cuvier's beaked whale","A","Maturity characters","M","Characters","6/14/13 17:26","MK10-B",5534,4307,43.2,1601.2727365614
"22",129712,"Cuvier's beaked whale","A","Maturity characters","F","Characters","6/14/13 17:57","MK10-B",6208,4642,43.2,1512.12959325844
"23",133061,"Cuvier's beaked whale","A","Maturity characters","F","Characters","4/26/14 18:54","MK10-B",NA,NA,43.2,1512.12959325844
"24",93247,"Melon-headed whale","U","Visual size","U","Characters","5/5/10 14:00","AM-S240A_Fibreglass",NA,NA,24.9804351871415,169.638007257456
"25",93248,"Melon-headed whale","U","Visual size","U","Characters","5/5/10 14:00","AM-S240A_Fibreglass",NA,NA,24.9804351871415,169.638007257456
"26",93249,"Melon-headed whale","U","Visual size","U","Characters","5/6/10 18:00","AM-S240A_Fibreglass",NA,NA,24.9804351871415,169.638007257456
"27",108430,"Melon-headed whale","U","Visual size","U","Characters","6/15/11 12:00","AM-S240C",NA,NA,24.9804351871415,169.638007257456
"28",108431,"Melon-headed whale","U","Visual size","U","Characters","6/15/11 12:00","AM-S240C",NA,NA,24.9804351871415,169.638007257456
"29",111672,"Melon-headed whale","U","Visual size","U","Characters","5/5/12 20:23","MK10-A",626,118,24.9804351871415,169.638007257456
"30",111677,"Melon-headed whale","U","Visual size","U","Characters","6/9/12 15:55","MK10-A",508,163,24.9804351871415,169.638007257456
"31",119494,"Melon-headed whale","U","Visual size","U","Characters","6/9/12 16:24","AM-S240C",NA,NA,24.9804351871415,169.638007257456
"32",111669,"Melon-headed whale","U","Visual size","U","Characters","5/1/13 6:17","MK10-A",NA,NA,24.9804351871415,169.638007257456
"33",113553,"Melon-headed whale","U","Visual size","U","Characters","5/1/13 8:08","AM-S240C",NA,NA,24.9804351871415,169.638007257456
"34",108424,"Melon-headed whale","U","Visual size","U","Characters","5/1/13 8:32","AM-S240C",NA,NA,24.9804351871415,169.638007257456
"35",129711,"Melon-headed whale","U","Visual size","U","Characters","6/13/13 16:22","MK10-B",NA,NA,24.9804351871415,169.638007257456
"36",121387,"Melon-headed whale","U","Visual size","U","Characters","6/13/13 16:42","AM-S240C",NA,NA,24.9804351871415,169.638007257456
"37",112033,"Melon-headed whale","U","Visual size","U","Characters","6/13/13 17:57","MK10-A",NA,NA,24.9804351871415,169.638007257456
"38",133069,"Melon-headed whale","U","Visual size","U","Characters","4/27/14 13:52","MK10-B",680,228,24.9804351871415,169.638007257456
"39",121386,"Melon-headed whale","U","Visual size","U","Characters","4/27/14 14:07","AM-S240C",NA,NA,24.9804351871415,169.638007257456
"40",108421,"Rough-toothed dolphin","U","Visual size","U","Characters","5/1/13 8:13","AM-S240C",NA,NA,NA,NA
"41",93218,"Short-finned pilot whale","A","Visual size","F","With dependent","10/26/09 15:28","AM-S240A_Fibreglass",NA,NA,68.2,581.580497581405
"42",93231,"Short-finned pilot whale","A","Visual size","F","With dependent","10/26/09 16:18","AM-S240A_Fibreglass",NA,NA,68.2,581.580497581405
"43",93220,"Short-finned pilot whale","A","Visual size","F","With dependent","10/26/09 16:49","AM-S240A_Fibreglass",NA,NA,68.2,581.580497581405
"44",93233,"Short-finned pilot whale","A","Visual size","M","Characters","11/5/09 12:47","AM-S240A_Fibreglass",NA,NA,68.2,1195.42124313779
"45",93215,"Short-finned pilot whale","A","Visual size","M","Characters","11/5/09 13:07","AM-S240A_Fibreglass",NA,NA,68.2,1195.42124313779
"46",93241,"Short-finned pilot whale","SA or AF","Visual size","U or AF","Characters","11/5/09 13:54","AM-S240A_Fibreglass",NA,NA,68.2,554.914165417207
"47",108428,"Short-finned pilot whale","A or SA","Visual size","F or U","Characters","6/12/11 22:00","AM-S240C",NA,NA,68.2,554.914165417207
"48",108429,"Short-finned pilot whale","A","Visual size","F","With dependent","6/12/11 22:00","AM-S240C",NA,NA,68.2,581.580497581405
"49",111679,"Short-finned pilot whale","A","Maturity characters","M","Genetic","6/15/12 14:11","MK10-A",1342,398,68.2,1195.42124313779
"50",111678,"Short-finned pilot whale","SA","Maturity characters","M","Genetic","6/15/12 14:14","MK10-A",1260,321,68.2,528.247833253009
"51",119497,"Short-finned pilot whale","A","Maturity characters","M","Characters","6/15/12 14:24","AM-S240C",NA,NA,68.2,1195.42124313779
"52",119492,"Short-finned pilot whale","SA","Visual size","M","Characters","6/15/12 15:22","AM-S240C",NA,NA,68.2,528.247833253009
"53",112031,"Short-finned pilot whale","A or SA","Visual size","F or M","Characters","6/15/12 15:28","MK10-A",1122,248,68.2,581.580497581405
"54",121388,"Short-finned pilot whale","A","Maturity characters","M","Genetic","4/24/14 17:43","AM-S240C",NA,NA,68.2,1195.42124313779
"55",121389,"Short-finned pilot whale","SA","Maturity characters","M","Characters","4/24/14 19:31","AM-S240C",NA,NA,68.2,528.247833253009
"56",121385,"Short-finned pilot whale","A","Maturity characters","M","Genetic","4/26/14 11:20","AM-S240C",NA,NA,68.2,1195.42124313779
"57",93213,"Sperm whale","A","Visual size","F","Genetic","4/30/09 12:40","AM-S240A_Fibreglass",NA,NA,70,11186.6858008392
"58",93214,"Sperm whale","U","Visual size","U","Characters","4/30/09 13:34","AM-S240A_Fibreglass",NA,NA,70,11774.4721304032
"59",93235,"Sperm whale","U","Visual size","U","Characters","4/30/09 14:20","AM-S240A_Fibreglass",NA,NA,70,11774.4721304032
"60",93234,"Sperm whale","A","Visual size","F","Distribution","5/5/09 16:38","AM-S240A_Fibreglass",NA,NA,70,11186.6858008392
"61",93219,"Sperm whale","A","Visual size","F","Distribution","5/5/09 17:14","AM-S240A_Fibreglass",NA,NA,70,11186.6858008392
"62",93236,"Sperm whale","A","Visual size","F","Genetic","5/20/09 12:22","AM-S240A_Fibreglass",NA,NA,70,11186.6858008392
"63",93239,"Sperm whale","A","Visual size","F","Genetic","5/20/09 16:29","AM-S240A_Fibreglass",NA,NA,70,11186.6858008392
"64",93238,"Sperm whale","SA","Visual size","M","Genetic","10/30/09 17:56","AM-S240A_Fibreglass",NA,NA,70,12362.2584599671
"65",93237,"Sperm whale","SA","Visual size","M","Distribution","5/3/10 15:00","AM-S240A_Fibreglass",NA,NA,70,12362.2584599671
"66",93245,"Sperm whale","SA","Visual size","M","Distribution","5/9/10 22:00","AM-S240A_Fibreglass",NA,NA,70,12362.2584599671
"67",102265,"Sperm whale","A","Visual size","F","Distribution","6/7/11 16:00","AM-S240B",NA,NA,70,11186.6858008392
"68",108420,"Sperm whale","A","Visual size","F","Distribution","6/7/11 16:00","AM-S240C",NA,NA,70,11186.6858008392
"69",108426,"Sperm whale","SA","Visual size","M","Genetic","6/15/11 14:00","AM-S240C",NA,NA,70,12362.2584599671
"70",108425,"Sperm whale","SA","Visual size","M","Genetic","6/15/11 18:00","AM-S240C",NA,NA,70,12362.2584599671
"71",111668,"Sperm whale","SA","Visual size","M","Genetic","10/28/11 12:10","MK10-A",NA,NA,70,12362.2584599671
"72",111667,"Sperm whale","U","Visual size","U","Characters","4/28/12 15:16","MK10-A",NA,NA,70,11774.4721304032
"73",111665,"Sperm whale","SA","Visual size","M","Distribution","4/28/12 15:52","MK10-A",3222,442,70,12362.2584599671
"74",111666,"Sperm whale","SA","Visual size","M","Distribution","4/28/12 15:52","MK10-A",3726,492,70,12362.2584599671
"75",113554,"Sperm whale","SA","Visual size","M","Genetic","4/28/12 16:06","AM-S240C",NA,NA,70,12362.2584599671
"76",108427,"Sperm whale","SA","Visual size","M","Distribution","4/28/12 16:36","AM-S240C",NA,NA,70,12362.2584599671
"77",119496,"Sperm whale","U","Visual size","U","Characters","6/6/12 16:00","AM-S240C",NA,NA,70,11774.4721304032
"78",119493,"Sperm whale","SA","Visual size","M","Distribution","5/4/13 18:00","AM-S240C",NA,NA,70,12362.2584599671
"79",119499,"Sperm whale","SA","Visual size","M","Genetic","5/4/13 19:00","AM-S240C",NA,NA,70,12362.2584599671
"80",111671,"Sperm whale","SA","Visual size","M","Genetic","6/3/13 19:33","MK10-A",3420,517,70,12362.2584599671
"81",119502,"Sperm whale","SA","Visual size","M","Genetic","6/3/13 19:42","AM-S240C",NA,NA,70,12362.2584599671
"82",119500,"Sperm whale","SA","Visual size","M","Genetic","6/3/13 19:56","AM-S240C",NA,NA,70,12362.2584599671
"83",111673,"Sperm whale","SA","Visual size","M","Genetic","6/3/13 20:07","MK10-A",3536,454,70,12362.2584599671
"84",121391,"Sperm whale","SA","Visual size","M","Genetic","6/17/13 18:57","AM-S240C",NA,NA,70,12362.2584599671
"85",111674,"Sperm whale","A","Visual size","F","Genetic","6/20/13 19:54","MK10-A",3494,557,70,11186.6858008392
"86",121390,"Sperm whale","A","Visual size","F","Distribution","6/20/13 21:05","AM-S240C",NA,NA,70,11186.6858008392
"87",113557,"Sperm whale","A","Visual size","F","Genetic","6/20/13 22:55","AM-S240C",NA,NA,70,11186.6858008392
"88",119501,"Sperm whale","A","Visual size","F","Genetic","6/20/13 23:13","AM-S240C",NA,NA,70,11186.6858008392
"89",119503,"Sperm whale","A","Visual size","F","Genetic","6/20/13 23:18","AM-S240C",NA,NA,70,11186.6858008392
"90",133068,"Sperm whale","SA","Visual size","M","Genetic","4/27/14 18:06","MK10-B",3694,458,70,12362.2584599671
